ds_rank	player	team	pos_rank	cbs_adp	consensus_adp	sleeper_adp
420	R. Johnson	CHI	RB81	N/A	282	N/A
421	S. Sanders	CLE	QB32	N/A	204	268
427	M. Washington	MIA	WR79	N/A	198	175
430	T. Brooks	CIN	RB82	N/A	264	N/A
434	C. Bell	MIA	WR80	N/A	278	289
435	Z. Branch	ATL	WR81	N/A	265	210
436	T. Hunter	JAC	WR82	N/A	206	168
439	M. Fields	NYG	WR83	N/A	236	218
444	C. Kupp	SEA	WR84	207	227	198
450	T. Tagovailoa	ATL	QB33	N/A	290	269
451	G. Helm	TEN	TE27	N/A	283	261
459	B. Grupe	NYJ	K24	180	N/A	N/A
468	C. Beck	ARI	QB34	N/A	98	N/A
475	G. Dulcich	MIA	TE28	198	247	247
479	Z. Knight	ARI	RB83	N/A	219	N/A
500	O. Gadsden II	LAC	TE29	N/A	169	145
501	J. Bech	LVR	WR85	N/A	178	276
502	K. Coleman	BUF	WR86	N/A	N/A	263
506	D. Washington	PIT	TE30	N/A	161	N/A
509	K. Williams	NE	WR87	N/A	N/A	225
513	I. TeSlaa	DET	WR88	N/A	240	237
